R,,,,,,
Wavelength,S1 2000rpm,S2 2000rpm,S3 2200rpm,S4 1800rpm,S5 1800rpm,S6 2000rpm
387.262,0.1396941,0.1470912,0.0829916,0.0573145,0.2256658,0.1450424
388.487,0.1198432,0.1465796,0.0838634,0.0761515,0.2347154,0.1474932
389.712,0.1020906,0.146352,0.087916,0.102201,0.2447749,0.1500749
390.937,0.0845705,0.1457797,0.0913715,0.1326477,0.2525227,0.1507838
392.162,0.0706922,0.1449999,0.097539,0.1632126,0.2574058,0.1503962
393.388,0.0600284,0.1447806,0.1039849,0.1923533,0.2592123,0.1483432
394.613,0.0538726,0.1442095,0.1135114,0.2221353,0.2595606,0.1461041
395.838,0.0507339,0.1438525,0.1228544,0.2514506,0.2562494,0.1411896
397.063,0.0520176,0.1437105,0.1331978,0.2770995,0.2488926,0.1340443
398.288,0.0562711,0.1440196,0.1421601,0.2969327,0.2380474,0.1259363
399.513,0.0644124,0.1434252,0.1525368,0.314295,0.224469,0.1168863
400.738,0.0769857,0.1438417,0.1634734,0.3298001,0.208415,0.1077743
401.964,0.0918087,0.1450485,0.1736623,0.342085,0.188595,0.0973394
403.189,0.1082206,0.14637,0.1824629,0.3496022,0.1653144,0.0873933
404.414,0.1244676,0.14584,0.1891554,0.3514599,0.1399334,0.0781561
405.645,0.1414715,0.1459327,0.1948629,0.3500611,0.1151618,0.0722943
406.878,0.1597875,0.1468719,0.2002507,0.3466572,0.0916895,0.0701634
408.112,0.1767513,0.1476047,0.2035804,0.3400138,0.0674739,0.0706233
409.346,0.1931197,0.1476937,0.2052194,0.3289813,0.0489637,0.0773846
410.58,0.2067498,0.1468313,0.2042717,0.3136945,0.0351074,0.089804
411.813,0.2190843,0.1470052,0.2026406,0.2951435,0.0297787,0.107523
413.047,0.2280032,0.1465282,0.1986169,0.274762,0.0316911,0.1301929
414.281,0.2351852,0.1445349,0.1930425,0.2513157,0.0428112,0.1575846
415.515,0.239681,0.1434493,0.1863073,0.2253656,0.0646847,0.1899893
416.749,0.2421271,0.1415052,0.1786232,0.1983088,0.0956709,0.225169
417.982,0.2407283,0.1396804,0.1702373,0.1703852,0.1338825,0.2626772
419.216,0.2362082,0.1366893,0.1602665,0.1419578,0.1786625,0.3007398
420.45,0.2283699,0.1327837,0.1489307,0.1148894,0.2264818,0.3379333
421.684,0.2180311,0.1296674,0.1388066,0.0929197,0.2761128,0.3722516
422.917,0.2050869,0.1266348,0.1298991,0.0756194,0.325193,0.406127
424.151,0.1902759,0.1235896,0.1218505,0.0639144,0.3747907,0.4387051
425.385,0.1726298,0.1198864,0.1137426,0.0586678,0.424169,0.4710704
426.619,0.1538335,0.1182831,0.1080985,0.0613805,0.4708933,0.5004095
427.852,0.1330101,0.1163435,0.1043349,0.0711093,0.5132467,0.5268439
429.086,0.1129581,0.115344,0.1028049,0.088304,0.5507403,0.5497595
430.32,0.0931285,0.1152089,0.1037461,0.1116961,0.584153,0.5702075
431.554,0.0749097,0.1173346,0.1074746,0.1409188,0.6165197,0.5905637
432.788,0.0593491,0.1222257,0.1142281,0.1752198,0.6470772,0.6105091
434.021,0.0480825,0.127331,0.1242333,0.2113474,0.6744208,0.627766
435.255,0.0419086,0.1346523,0.1364322,0.2484581,0.6970203,0.6422479
436.491,0.0410583,0.1436905,0.1500258,0.2857904,0.7163767,0.6538322
437.73,0.045498,0.1547311,0.1648358,0.3219715,0.734723,0.6654222
438.968,0.0582023,0.1669673,0.1834885,0.3569077,0.7507993,0.6755088
440.207,0.0774608,0.1811814,0.2032439,0.3908288,0.7654337,0.685363
441.445,0.103237,0.1976144,0.2250765,0.4230389,0.7783058,0.6933234
442.684,0.1338651,0.2140231,0.2467785,0.4526463,0.7895892,0.7007393
443.922,0.1700245,0.231296,0.2698002,0.4790861,0.7984227,0.7056501
445.161,0.2103428,0.2485621,0.2927873,0.5032939,0.8055269,0.7100878
446.399,0.2530958,0.2664733,0.3166669,0.5258986,0.8113327,0.7128805
447.638,0.2974433,0.2858317,0.3404681,0.547823,0.8171066,0.7160236
448.876,0.3424049,0.3035309,0.3638497,0.5662227,0.8215099,0.717447
450.115,0.3864698,0.3216342,0.3867588,0.5835202,0.8249988,0.71851
451.353,0.4307813,0.3399402,0.410153,0.6001923,0.8280452,0.7185475
452.592,0.4723561,0.3587848,0.4324745,0.6145895,0.8283585,0.7172405
453.83,0.5128475,0.3766557,0.4541452,0.6281242,0.8301017,0.7162538
455.069,0.5503608,0.3944863,0.4741466,0.6400518,0.8296489,0.7131891
456.307,0.5851106,0.4126283,0.4936146,0.6503633,0.8271731,0.7076411
457.546,0.6171893,0.430909,0.5120691,0.659616,0.8235501,0.7016703
458.784,0.6444186,0.4469134,0.5287601,0.6660344,0.8169394,0.6933895
460.023,0.6723256,0.4647949,0.5447123,0.6751593,0.8126428,0.6864305
461.261,0.6973101,0.4830673,0.5603049,0.682271,0.8075754,0.6771823
462.5,0.721507,0.5026931,0.5759364,0.6902666,0.8011292,0.6681202
463.738,0.7407623,0.5190548,0.5887334,0.6936259,0.7907328,0.6545681
464.977,0.7577114,0.5355226,0.6000797,0.698485,0.7796228,0.6410901
466.215,0.7734232,0.5516917,0.6103005,0.7020446,0.7674529,0.6264867
467.454,0.7892086,0.5704204,0.6223201,0.7071078,0.7563887,0.6114709
468.692,0.8023445,0.5852506,0.6321081,0.7091504,0.7417319,0.5946638
